id,title,year,design,population,substance_tag,follow_up,outcomes,finding,limitations,access,review_status
asam2024,The ASAM/AAAP Clinical Practice Guideline on the Management of Stimulant Use Disorder,2024,Clinical practice guideline,"People with stimulant use disorder, intoxication, or withdrawal",GUIDELINE,Care continuum,"Withdrawal, use disorder treatment, psychiatric complications, harm reduction",Provides current management recommendations; contingency management is a primary treatment component and post-acute symptoms may require care.,Guideline recommendations inherit heterogeneous evidence and are not direct proof for every substance or outcome.,full-text,agent-screened; human review pending
li2023,Clinical management of psychostimulant withdrawal: review of the evidence,2023,Clinical narrative review,People withdrawing from methamphetamine or cocaine,METH-direct/COC-context,Acute through late protracted phases,"Symptoms, trajectory, biomedical and behavioral treatments",Organizes withdrawal into acute and protracted phases and concludes that medication evidence remains limited.,Primarily methamphetamine and cocaine; not a systematic review focused on non-methamphetamine amphetamine.,full-text,agent-screened; human review pending
shoptaw2009,Treatment for amphetamine withdrawal,2009,Systematic review and meta-analysis,People undergoing amphetamine withdrawal,ATS-pooled,Acute withdrawal,"Withdrawal symptoms, completion, craving, adverse events",Four small randomized trials with 125 participants did not establish a routinely effective medication.,"Very small, old, heterogeneous evidence base; amineptine is not a practical current option.",full-text,agent-screened; human review pending
acheson2023,Pharmacological treatment for methamphetamine withdrawal: A systematic review and meta-analysis of randomised controlled trials,2023,Systematic review and meta-analysis,People undergoing methamphetamine withdrawal,METH-direct,Acute withdrawal treatment,"Discontinuation, global state, withdrawal, craving, safety",Nine RCTs with 242 participants yielded low or very-low certainty evidence and no convincing routinely effective medication.,"Small trials, high risk of bias, limited safety reporting, predominantly male samples.",full-text,agent-screened; human review pending
mcgregor2005,"The nature, time course and severity of methamphetamine withdrawal",2005,Three-week inpatient repeated-measure study,21 methamphetamine-dependent inpatients and 9 controls,METH-direct,First 3 weeks of abstinence,"Withdrawal severity, sleep, appetite, mood, anxiety, craving","Severity peaked within 24 hours, approached controls by the end of week one, then remained lower during a subacute phase.",Small inpatient Thai cohort; setting and selection limit generalizability.,abstract,agent-screened; human review pending
zorick2010,Withdrawal symptoms in abstinent methamphetamine-dependent subjects,2010,Prospective inpatient abstinence study,Methamphetamine-dependent adults in monitored abstinence,METH-direct,Up to 5 weeks,"Depression, psychosis, craving, withdrawal symptoms","Average depression and psychosis improved rapidly, while craving remained measurable across the five-week observation period.",Inpatient selection and attrition; methamphetamine-specific.,full-text,agent-screened; human review pending
walker2019,The Stimulant Selective Severity Assessment: A replication and exploratory extension of the Cocaine Selective Severity Assessment,2019,Psychometric analysis,302 people with stimulant use disorders,COC-context/METH-direct,Baseline assessment,"Internal consistency, construct validity, factor structure",The scale performed acceptably overall and in cocaine groups but poorly in the primarily methamphetamine-only subgroup.,Small non-cocaine subgroup and no direct non-methamphetamine amphetamine validation.,abstract,agent-screened; human review pending
srisurapanont1999a,"Amphetamine withdrawal: I. Reliability, validity and factor structure of a measure",1999,Psychometric instrument-development study,People experiencing amphetamine withdrawal,ATS-labelled,Acute withdrawal,"Reliability, validity, factor structure of the AWQ",Developed a short Amphetamine Withdrawal Questionnaire with initial reliability and validity evidence.,Older single-setting validation; exact exposure composition and transportability require scrutiny.,abstract,agent-screened; human review pending
cruickshank2008,A placebo-controlled trial of mirtazapine for the management of methamphetamine withdrawal,2008,Double-blind randomized placebo-controlled pilot trial,31 outpatients undergoing methamphetamine withdrawal,METH-direct,35 days,"Retention, withdrawal symptoms, insomnia, mood, substance use",No significant treatment differences were observed; recruitment and retention limited power.,Very small sample and 52% completion of the two-week medication phase.,abstract,agent-screened; human review pending
khalili2025,Management of Amphetamine and Methamphetamine Use Disorders: A Systematic Review and Network Meta-analysis of Randomized Trials,2025,Systematic review and network meta-analysis,6836 adults across 72 randomized trials,AMPH/METH-pooled,Trial-specific treatment follow-up,"Abstinence, use, craving, retention, tolerability",No intervention had moderate- or high-certainty evidence for important improvement across patient-important outcomes.,Network heterogeneity and mixed amphetamine/methamphetamine populations; withdrawal was not the sole target.,full-text,agent-screened; human review pending
sharafi2024,Prescription psychostimulants for the treatment of amphetamine-type stimulant use disorder: A systematic review and meta-analysis of randomized placebo-controlled trials,2024,Systematic review and meta-analysis,561 participants across 10 randomized trials,ATS-pooled,2 to 24 weeks,"Use, craving, retention, withdrawal, depression, safety","A small craving signal was observed, but main analyses did not show significant improvement in withdrawal, use by urinalysis, or retention.",High heterogeneity; withdrawal outcome included only 138 participants and was very-low certainty.,full-text,agent-screened; human review pending
decrescenzo2018,Comparative efficacy and acceptability of psychosocial interventions for individuals with cocaine and amphetamine addiction: A systematic review and network meta-analysis,2018,Systematic review and network meta-analysis,6942 adults across 50 randomized trials,COC/AMPH-pooled,End of treatment and longest follow-up,"Abstinence by urinalysis, dropout, duration of abstinence",Contingency management combined with community reinforcement performed best for abstinence and acceptability outcomes.,"Cocaine and amphetamine populations pooled; outcomes concern use and retention, not direct withdrawal relief.",full-text,agent-screened; human review pending
trivedi2021,Bupropion and Naltrexone in Methamphetamine Use Disorder,2021,Multisite double-blind randomized placebo-controlled trial,Adults with moderate or severe methamphetamine use disorder,METH-direct,12 weeks,Methamphetamine-negative urine response and safety,The combination produced a higher but still low toxicology-defined response than placebo.,"Primary outcome was use response, not acute withdrawal or comprehensive functional recovery.",abstract,agent-screened; human review pending
mcketin2026,Mirtazapine for Methamphetamine Use Disorder: A Randomized Clinical Trial,2026,Phase 3 double-blind randomized placebo-controlled trial,344 adults with moderate to severe methamphetamine use disorder,METH-direct,12 weeks,"Days of use, toxicology, depression, insomnia, quality of life, safety","Mirtazapine produced a modest additional reduction in self-reported use days, with no significant secondary-outcome improvements.","Not an acute-withdrawal trial; adherence was limited and drowsiness, weight gain, and discontinuation were more frequent.",full-text,agent-screened; human review pending
bastien2025,Is Naltrexone Effective and Safe for Treating Amphetamine-Type Stimulant Use Disorder? A Systematic Review and Meta-analysis,2025,Systematic review and meta-analysis,Adults with amphetamine-type stimulant use disorder,ATS-pooled,Maintenance treatment,"Use, retention, craving, safety",Standalone naltrexone did not show a clear benefit over placebo; certainty was low or very low.,Small evidence base and not withdrawal-specific.,abstract,agent-screened; human review pending
ballester2025,ASAM/AAAP Clinical Practice Guideline for Stimulant Use Disorder Management: Commentary on Research Priorities,2025,Research-priority commentary,Stimulant use disorder research and care,GUIDELINE,Care continuum,Implementation and research gaps,"Highlights gaps in contingency management implementation, pharmacotherapy, psychosis, harm reduction, and population coverage.",Commentary rather than primary evidence or systematic synthesis.,full-text,agent-screened; human review pending
sinclair2026,Evidence-based consensus guidelines for the pharmacological management of substance dependence: Recommendations from the British Association for Psychopharmacology,2026,Evidence-based consensus guideline,"People with substance dependence, including stimulant dependence",GUIDELINE,Withdrawal and maintenance care,Pharmacological management and key uncertainties,Concludes that stimulant pharmacotherapy evidence is weak and withdrawal-treatment trials remain small and low quality.,Consensus guideline rather than a de novo systematic review of every primary study.,full-text,agent-screened; human review pending
srisurapanont1999b,"Amphetamine Withdrawal: II. A Placebo-Controlled, Randomised, Double-Blind Study of Amineptine Treatment",1999,Two-week randomized double-blind placebo-controlled trial,44 inpatients with amphetamine withdrawal,ATS-labelled,2 weeks,"AWQ reversed vegetative symptoms, global state, discontinuation","Reported benefit on reversed vegetative symptoms and global state, creating a historical positive signal.","Small older trial of amineptine, a drug no longer approved in many settings and with abuse-liability concerns.",abstract,agent-screened; human review pending
watson1972,"Amphetamine withdrawal: affective state, sleep patterns, and MHPG excretion",1972,Small physiological and clinical observational study,People withdrawing after prolonged amphetamine abuse,AMPH-direct,Withdrawal and recovery,"Depression, EEG sleep, urinary MHPG",Withdrawal depression tracked changes in MHPG excretion and REM-related sleep measures.,Very small historical study with dated methods and limited generalizability.,abstract,agent-screened; human review pending
gossop1982,Amphetamine withdrawal and sleep disturbance,1982,Hospital observational sleep study with controls,Amphetamine users after hospital admission and withdrawal,AMPH-direct,20 days,"Sleep duration, night waking, daytime sleep, variability","Initial oversleeping shifted to reduced and disturbed sleep toward the end of week one, persisting through day 20.","Historical study, limited sample reporting in accessible abstract, sleep-specific outcome.",abstract,agent-screened; human review pending
cantwell1998,Self detoxication by amphetamine dependent patients: a pilot study,1998,Retrospective structured-interview pilot study,50 current or former amphetamine-dependent clients,AMPH-direct,Retrospective reports of cessation attempts,"Withdrawal symptoms, coping, relapse, treatment seeking",Eighty-six percent reported significant withdrawal symptoms after stopping amphetamine.,"Retrospective self-report, selected treatment sample, no prospective symptom measurement.",abstract,agent-screened; human review pending
oswald1963,Amphetamine and phenmetrazine addiction: physiological abnormalities in the abstinence syndrome,1963,Six-person physiological sleep study,People dependent on amphetamine or phenmetrazine,AMPH-direct/mixed,Up to 3–8 weeks for sleep normalization,EEG sleep abnormalities during abstinence,Marked REM-related abnormalities appeared after withdrawal and normalized over several weeks when drugs remained withheld.,"Six participants, mixed stimulant exposure, historical methods and terminology.",full-text,agent-screened; human review pending
